nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,nmc-item,nmc-item alias,nmc-item id,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 4,NIV-47483218314141915_47483218314322840@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C94,amount,5.2.11,n,65 400 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 4,NIV-47483218314141915_47483218314322840@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C94,amount,5.2.11,nm1,72 343 140
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 4,NIV-47483218314141915_47483218314322840@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C94,amount,5.2.11,nm2,72 103 309,00
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 5,NIV-47483218314141915_47483218314322841@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CBD,amount,5.2.11,n,6 800 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 5,NIV-47483218314141915_47483218314322841@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CBD,amount,5.2.11,nm1,5 054 639
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 5,NIV-47483218314141915_47483218314322841@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CBD,amount,5.2.11,nm2,6 731 097,00
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 6,NIV-47483218314141915_47483218314322842@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CE3,amount,5.2.11,n,43 418 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 6,NIV-47483218314141915_47483218314322842@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CE3,amount,5.2.11,nm1,39 388 525
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 6,NIV-47483218314141915_47483218314322842@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10CE3,amount,5.2.11,nm2,39 000 931,50
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,1 0 0 7,NIV-47483218314141915_47483218314322843@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10D08,amount,5.2.11,n,180 000
