nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 1,NIV-47483218314141915_47483218314322957@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C70,amount,5.2.17,n,13 000 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 1,NIV-47483218314141915_47483218314322957@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C70,amount,5.2.17,nm1,9 000 000
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 1,NIV-47483218314141915_47483218314322957@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C70,amount,5.2.17,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 3,NIV-47483218314141915_47483218314322958@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C8D,amount,5.2.17,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 3,NIV-47483218314141915_47483218314322958@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C8D,amount,5.2.17,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 3,NIV-47483218314141915_47483218314322958@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11C8D,amount,5.2.17,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 4,NIV-47483218314141915_47483218314322959@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11CA9,amount,5.2.16,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 4,NIV-47483218314141915_47483218314322959@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11CA9,amount,5.2.16,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 4,NIV-47483218314141915_47483218314322959@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11CA9,amount,5.2.16,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,10,NIV-47483218314141915_47483218314322955@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11BC1,nmc-chapter,10 5,NIV-47483218314141915_47483218314322960@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11CC5,amount,5.2.141,n,p.m.
