nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,nmc-item,nmc-item alias,int.li,p,p lang
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 2,int.li,This appropriation is intended to fund:,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 2,NIV-47483218314141915_47483218314322860@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10FAB,nmc-item,1 2 2 2,

Council Regulation (EC, Euratom) No 1748/2002 of 30 September 2002 introducing, in the context of the modernisation of the institution, special measures to terminate the service of Officials of the European Communities appointed to an established post in the European Parliament and temporary staff working in the Political Groups of the European Parliament (OJ L 264, 2.10.2002, p. 9).,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 6,NIV-47483218314141915_47483218314322874@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111A6,nmc-article,1 6 5,NIV-47483218314141915_47483218314322882@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N112A5,nmc-item,1 6 5 2,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 2 000 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 6,NIV-47483218314141915_47483218314322874@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111A6,nmc-article,1 6 5,NIV-47483218314141915_47483218314322882@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N112A5,nmc-item,1 6 5 4,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation from parental contributions is estimated at EUR 2 200 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 0,NIV-47483218314141915_47483218314322887@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11321,nmc-article,2 0 2,NIV-47483218314141915_47483218314322895@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11412,nmc-item,2 0 2 4,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 82 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 0,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 155 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 1,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 164 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 2,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 77 000.,en,en
