nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,nmc-item,p,p lang,p lang,p lang
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,This appropriation is intended to cover reimbursement of additional travel expenses and travel expenses incurred in the Member State of election.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 0,NIV-47483218314141915_47483218314322838@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C67,nmc-item,This appropriation is intended to cover the flat-rate subsistence and representation allowances in connection with the duties of the President of the European Parliament.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 0,NIV-47483218314141915_47483218314322837@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C5E,nmc-article,1 0 1,NIV-47483218314141915_47483218314322844@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10D2A,nmc-item,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 5 000.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 2,NIV-47483218314141915_47483218314322855@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EE6,nmc-article,1 2 0,NIV-47483218314141915_47483218314322856@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10EF0,nmc-item,This appropriation is intended to cover the payment of overtime under the conditions set out in the abovementioned provisions.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 6,NIV-47483218314141915_47483218314322874@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111A6,nmc-article,1 6 1,NIV-47483218314141915_47483218314322875@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111B0,nmc-item,This appropriation is intended to cover expenditure on training for improving staff skills and the performance and efficiency of the institution, e.g. via language courses for the official working languages. ,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 6,NIV-47483218314141915_47483218314322874@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111A6,nmc-article,1 6 3,NIV-47483218314141915_47483218314322878@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1120D,nmc-item,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 800 000.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,1,NIV-47483218314141915_47483218314322836@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C54,nmc-chapter,1 6,NIV-47483218314141915_47483218314322874@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N111A6,nmc-article,1 6 5,NIV-47483218314141915_47483218314322882@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N112A5,nmc-item,It also covers expenditure involving the purchase of certain work tools deemed necessary on medical grounds, together with expenditure on medical or paramedical staff under service provision arrangements or on short-term stand-in assignment.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 0,NIV-47483218314141915_47483218314322887@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11321,nmc-article,2 0 0,NIV-47483218314141915_47483218314322888@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1132B,nmc-item,Financial contributions from Member States or their public agencies or entities in the form of financing or repayment of costs and of associated charges relating to the purchase or use of land, buildings, as well as of charges in relation to buildings and facilities of the institution, shall be considered as external assigned revenue within the meaning of Article 21(2) of the Financial Regulation.,This appropriation is intended to cover the annual lease payments for buildings or parts of buildings under existing leases or leases in preparation.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 0,NIV-47483218314141915_47483218314322887@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11321,nmc-article,2 0 0,NIV-47483218314141915_47483218314322888@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1132B,nmc-item,Financial contributions from Member States or their public agencies or entities in the form of financing or repayment of costs and of associated charges relating to the purchase or use of land, buildings, as well as of charges in relation to buildings and facilities of the institution, shall be considered as external assigned revenue within the meaning of Article 21(2) of the Financial Regulation.,en,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 0,NIV-47483218314141915_47483218314322887@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11321,nmc-article,2 0 0,NIV-47483218314141915_47483218314322888@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1132B,nmc-item,Financial contributions from Member States or their public agencies or entities in the form of financing or repayment of costs and of associated charges relating to the purchase or use of land, buildings, as well as of charges in relation to buildings and facilities of the institution, shall be considered as external assigned revenue within the meaning of Article 21(2) of the Financial Regulation.,en,en,en
