nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,p,bud-data,nmc-title,nmc-title alias,nmc-title id,p2,bud-data2,nmc-chapter,nmc-chapter alias,nmc-chapter id,p22,bud-data22,p3,nmc-article,nmc-article alias,nmc-article id,p222,bud-data222,nmc-item,nmc-item alias,nmc-item id,p2222,bud-data2222,bud-data exprev,amounts,amount,amount catpol,amount year,figure
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 0,NIV-47483218314141915_47483218314325563@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44846,Allowances for staff retired in the interests of the service ,bud-data,exp,amounts,amount,5.2.521,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 0,NIV-47483218314141915_47483218314325563@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44846,Allowances for staff retired in the interests of the service ,bud-data,exp,amounts,amount,5.2.521,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 0,NIV-47483218314141915_47483218314325563@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44846,Allowances for staff retired in the interests of the service ,bud-data,exp,amounts,amount,5.2.521,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 2,NIV-47483218314141915_47483218314325564@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44866,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,bud-data,exp,amounts,amount,5.2.521,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 2,NIV-47483218314141915_47483218314325564@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44866,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,bud-data,exp,amounts,amount,5.2.521,nm1,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 2,NIV-47483218314141915_47483218314325557@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44772,OFFICIALS AND TEMPORARY STAFF ,,A standard abatement of 3 % has been applied to the appropriations entered in this chapter.,nmc-article,1 2 2,NIV-47483218314141915_47483218314325562@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4483C,Allowances upon early termination of service,,nmc-item,1 2 2 2,NIV-47483218314141915_47483218314325564@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44866,Allowances for staff whose service is terminated and special retirement scheme for officials and temporary staff,bud-data,exp,amounts,amount,5.2.521,nm2,0,—
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 4,NIV-47483218314141915_47483218314325584@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AD7,Early Childhood Centre,This appropriation is intended to cover the Court’s contribution to the Early Childhood Centre and study centre in Luxembourg.,bud-data,exp,amounts,amount,5.2.523,n,1 512 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 4,NIV-47483218314141915_47483218314325584@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AD7,Early Childhood Centre,This appropriation is intended to cover the Court’s contribution to the Early Childhood Centre and study centre in Luxembourg.,bud-data,exp,amounts,amount,5.2.523,nm1,1 654 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 4,NIV-47483218314141915_47483218314325584@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AD7,Early Childhood Centre,This appropriation is intended to cover the Court’s contribution to the Early Childhood Centre and study centre in Luxembourg.,bud-data,exp,amounts,amount,5.2.523,nm2,1 812 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 5,NIV-47483218314141915_47483218314325585@IDGKeceHKcGbeGKaeeX_KaHaMdJXHIfIfJJObJKX_Nffc,PMO expenditure on the management of matters concerning Court staff,This appropriation is intended to cover the expenditure incurred under the service agreements between the PMO (Office for the Administration and Payment of Individual Entitlements) and the Court.,bud-data,exp,amounts,amount,5.2.533,n,70 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 5,NIV-47483218314141915_47483218314325585@IDGKeceHKcGbeGKaeeX_KaHaMdJXHIfIfJJObJKX_Nffc,PMO expenditure on the management of matters concerning Court staff,This appropriation is intended to cover the expenditure incurred under the service agreements between the PMO (Office for the Administration and Payment of Individual Entitlements) and the Court.,bud-data,exp,amounts,amount,5.2.533,nm1,70 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,1,NIV-47483218314141915_47483218314325547@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44653,PERSONS WORKING WITH THE INSTITUTION,,nmc-chapter,1 6,NIV-47483218314141915_47483218314325573@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N449A0,OTHER EXPENDITURE RELATING TO PERSONS WORKING WITH THE INSTITUTION,,nmc-article,1 6 5,NIV-47483218314141915_47483218314325581@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44A8A,Activities relating to all persons working with the institution,,nmc-item,1 6 5 5,NIV-47483218314141915_47483218314325585@IDGKeceHKcGbeGKaeeX_KaHaMdJXHIfIfJJObJKX_Nffc,PMO expenditure on the management of matters concerning Court staff,This appropriation is intended to cover the expenditure incurred under the service agreements between the PMO (Office for the Administration and Payment of Individual Entitlements) and the Court.,bud-data,exp,amounts,amount,5.2.523,nm2,50 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 0,NIV-47483218314141915_47483218314325589@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B16,Rent,bud-data,exp,amounts,amount,5.2.541,n,181 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 0,NIV-47483218314141915_47483218314325589@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B16,Rent,bud-data,exp,amounts,amount,5.2.541,nm1,2 466 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 0,NIV-47483218314141915_47483218314325589@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B16,Rent,bud-data,exp,amounts,amount,5.2.541,nm2,4 995 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 3,NIV-47483218314141915_47483218314325591@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B52,Acquisition of immovable property,bud-data,exp,amounts,amount,5.2.541,n,p.m.
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 3,NIV-47483218314141915_47483218314325591@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B52,Acquisition of immovable property,bud-data,exp,amounts,amount,5.2.541,nm1,3 000 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 3,NIV-47483218314141915_47483218314325591@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B52,Acquisition of immovable property,bud-data,exp,amounts,amount,5.2.541,nm2,3 000 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 7,NIV-47483218314141915_47483218314325593@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B8F,Fitting-out of premises,bud-data,exp,amounts,amount,5.2.542,n,621 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 7,NIV-47483218314141915_47483218314325593@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B8F,Fitting-out of premises,bud-data,exp,amounts,amount,5.2.542,nm1,160 000
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 0,NIV-47483218314141915_47483218314325588@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B0C,Buildings ,,nmc-item,2 0 0 7,NIV-47483218314141915_47483218314325593@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44B8F,Fitting-out of premises,bud-data,exp,amounts,amount,5.2.542,nm2,215 000,00
nmc-expenditure,E,NIV-47483218314141915_47483218314325546@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N4464A,EXPENDITURE,,nmc-title,2,NIV-47483218314141915_47483218314325586@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AF4,BUILDINGS, MOVABLE PROPERTY, EQUIPMENT AND MISCELLANEOUS OPERATING EXPENDITURE,,nmc-chapter,2 0,NIV-47483218314141915_47483218314325587@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44AFE,BUILDINGS AND ASSOCIATED COSTS ,,Cover having been cancelled by the insurance companies, the risk of labour disputes and terrorist attacks in and on the buildings occupied by the Court of Auditors is now covered by the general budget of the European Union. The appropriations earmarked under this title therefore cover all expenditure incurred in repairing damage resulting from labour disputes and terrorist attacks.,nmc-article,2 0 2,NIV-47483218314141915_47483218314325595@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BD7,Expenditure on buildings,,nmc-item,2 0 2 2,NIV-47483218314141915_47483218314325596@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N44BE1,Cleaning and maintenance,bud-data,exp,amounts,amount,5.2.542,n,1 214 000
