metadata,nomenc,nomenc name,nom-item,nom-item code,property,property2,property3,property4,property5,desc,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,desc21,desc22,desc23,nom-item2,nom-item code2,property22,property32,property42,property52,property6,desc222,desc32,desc42,desc52,desc62,desc72,desc82,desc92,desc102,desc112,desc122,desc132,desc142,desc152,desc162,desc172,desc182,desc192,desc202,desc212,desc2222,desc232,desc24,nom-item22,nom-item code22,desc2,desc lang
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Nuclear Safety and Decommissioning,en
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Sûreté nucléaire et démantèlement,fr
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Ядрена безопасност и извеждане от експлоатация на ядрени съоръжения,bg
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Jaderná bezpečnost a vyřazování zařízení z provozu,cs
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Nuklear sikkerhed og nedlukning,da
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Sicherheit und Stilllegung kerntechnischer Anlagen,de
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Πυρηνική ασφάλεια και παροπλισμός,el
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Seguridad nuclear y desmantelamiento,es
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Tuumaohutus ja dekomisjoneerimine,et
metadata,nomenc,fp,nom-item,1,,,,,,Smart and inclusive growth,Croissance intelligente et inclusive,Интелигентен и приобщаващ растеж,Inteligentní růst podporující začlenění,Intelligent og inklusiv vækst,Intelligentes und integratives Wachstum,Έξυπνη και χωρίς αποκλεισμούς ανάπτυξη,Crecimiento inteligente e integrador,Arukas ja kaasav majanduskasv,Älykäs ja osallistava kasvu,Pametni i uključivi rast,Intelligens és inkluzív növekedés,Crescita intelligente e inclusiva,Pažangus ir integracinis augimas,Gudra un iekļaujoša izaugsme,Tkabbir intelliġenti u inklużiv,Slimme en inclusieve groei,Inteligentny wzrost gospodarczy sprzyjający włączeniu społecznemu,Crescimento inteligente e inclusivo,Creștere inteligentă și favorabilă incluziunii,Inteligentný a inkluzívny rast,Pametna in vključujoča rast,Smart tillväxt för alla,nom-item,1.1,,,,,,Competitiveness for growth and jobs,Compétitivité pour la croissance et l’emploi,Конкурентоспособност за растеж и работни места,Konkurenceschopnost pro růst a zaměstnanost,Konkurrenceevne for vækst og beskæftigelse,Wettbewerbsfähigkeit im Dienste von Wachstum und Beschäftigung,Ανταγωνιστικότητα για την ανάπτυξη και την απασχόληση,Competitividad para el crecimiento y el empleo,Konkurentsivõime majanduskasvu ja tööhõive tagamiseks,Kasvua ja työllisyyttä edistävä kilpailukyky ,Konkurentnost za rast i zapošljavanje,Versenyképesség a növekedésért és foglalkoztatásért,Competitività per la crescita e l'occupazione,Konkurencingumas augimui ir užimtumui skatinti,Konkurētspēja izaugsmei un nodarbinātībai,Kompetittività għat-tkabbir u l-impjiegi,Concurrentievermogen voor groei en werkgelegenheid,Konkurencyjność na rzecz wzrostu gospodarczego i zatrudnienia,Competitividade para o crescimento e o emprego,Competitivitate pentru creștere economică și locuri de muncă,Konkurencieschopnosť pre rast a zamestnanosť,Konkurenčnost za rast in delovna mesta,Konkurrenskraft för tillväxt och sysselsättning,nom-item,1.1.2,Ydinturvallisuus ja ydinvoimaloiden poistaminen käytöstä,fi
