metadata,nomenc,nomenc name,nom-item,nom-item code,property,property2,property3,property4,property5,desc,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,desc21,desc22,desc23,nom-item2,nom-item code2,property22,desc222,desc32,desc42,desc52,desc62,desc72,desc82,desc92,desc102,desc112,desc122,desc132,desc142,desc152,desc162,desc172,desc182,desc192,desc202,desc212,desc2222,desc232,desc24,nom-item22,nom-item code22,desc2,desc lang
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,European Agricultural Fund for Rural Development (EAFRD),en
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Fonds européen agricole pour le développement rural (Feader),fr
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Европейски земеделски фонд за развитие на селските райони (ЕЗФРСР),bg
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Evropský zemědělský fond pro rozvoj venkova (EZFRV),cs
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Den Europæiske Landbrugsfond for Udvikling af Landdistrikterne (ELFUL),da
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums (ELER),de
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής Ανάπτυξης (ΕΓΤΑΑ),el
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Fondo Europeo Agrícola de Desarrollo Rural (FEADER),es
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Maaelu Arengu Euroopa Põllumajandusfond (EAFRD),et
metadata,nomenc,fp,nom-item,2,,,,,,Sustainable growth: natural resources,Croissance durable: ressources naturelles,Устойчив растеж: природни ресурси,Udržitelný růst: přírodní zdroje,Bæredygtig vækst: Naturressourcer,Nachhaltiges Wachstum: natürliche Ressourcen,Βιώσιμη ανάπτυξη: φυσικοί πόροι,Crecimiento sostenible: recursos naturales,Jätkusuutlik majanduskasv: loodusvarad,Kestävä kasvu: luonnonvarat,Održivi rast: prirodni resursi,Fenntartható növekedés: természeti erőforrások,Crescita sostenibile: risorse naturali,Tvarus augimas: gamtos ištekliai,Ilgtspējīga izaugsme: dabas resursi,Tkabbir sostenibbli: riżorsi naturali,Duurzame groei: natuurlijke hulpbronnen,Zrównoważony wzrost gospodarczy: zasoby naturalne,Crescimento sustentável: recursos naturais,Creștere economică durabilă: resurse naturale,Udržateľný rast: prírodné zdroje,Trajnostna rast: naravni viri,Hållbar tillväxt: naturresurser,nom-item,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nom-item,2.0.2,Euroopan maaseudun kehittämisen maatalousrahasto (maaseuturahasto),fi
