metadata,nomenc,nomenc name,nom-item,nom-item code,desc,desc lang
metadata,nomenc,Agency,nom-item,ACER,Agency for the Cooperation of Energy Regulators (ACER),en
metadata,nomenc,Agency,nom-item,ACER,Agence de coopération des régulateurs de l'énergie (ACER),fr
metadata,nomenc,Agency,nom-item,ACER,Агенция за сътрудничество между регулаторите на енергия  (ACER),bg
metadata,nomenc,Agency,nom-item,ACER,Agentura pro spolupráci energetických regulačních orgánů (ACER),cs
metadata,nomenc,Agency,nom-item,ACER,Agenturet for Samarbejde mellem Energireguleringsmyndigheder,da
metadata,nomenc,Agency,nom-item,ACER,Agentur für die Zusammenarbeit der Energieregulierungsbehörden (ACER),de
metadata,nomenc,Agency,nom-item,ACER,Οργανισμός Συνεργασίας Ρυθμιστικών Αρχών Ενέργειας (ACER),el
metadata,nomenc,Agency,nom-item,ACER,Agencia de Cooperación de los Reguladores de la Energía (ACER),es
metadata,nomenc,Agency,nom-item,ACER,Energeetikasektorit Reguleerivate Asutuste Koostööamet (ACER),et
metadata,nomenc,Agency,nom-item,ACER,Energia-alan sääntelyviranomaisten yhteistyövirasto (ACER),fi
metadata,nomenc,Agency,nom-item,ACER,Pričuva za pomoć u nuždi (EAR),hr
metadata,nomenc,Agency,nom-item,ACER,Energiaszabályozói Együttműködési Ügynökség (ACER),hu
metadata,nomenc,Agency,nom-item,ACER,Agenzia per la cooperazione fra i regolatori nazionali dell’energia (ACER),it
metadata,nomenc,Agency,nom-item,ACER,Energetikos reguliavimo institucijų bendradarbiavimo agentūra (ACER),lt
metadata,nomenc,Agency,nom-item,ACER,Energoregulatoru sadarbības aģentūra (ACER),lv
metadata,nomenc,Agency,nom-item,ACER,Aġenzija għall-Kooperazzjoni tar-Regolaturi tal-Enerġija (ACER),mt
metadata,nomenc,Agency,nom-item,ACER,Agentschap voor de samenwerking tussen energieregulators (ACER),nl
metadata,nomenc,Agency,nom-item,ACER,Agencja ds. Współpracy Organów Regulacji Energetyki (ACER),pl
metadata,nomenc,Agency,nom-item,ACER,Agência de Cooperação dos Reguladores da Energia (ACER),pt
metadata,nomenc,Agency,nom-item,ACER,Agenția pentru Cooperarea Autorităților de Reglementare din Domeniul Energiei (ACER),ro
metadata,nomenc,Agency,nom-item,ACER,Agentúra pre spoluprácu regulačných orgánov v oblasti energetiky (ACER),sk
metadata,nomenc,Agency,nom-item,ACER,Agencija za sodelovanje energetskih regulatorjev (ACER),sl
metadata,nomenc,Agency,nom-item,ACER,Byrån för samarbete mellan energitillsynsmyndigheter (Acer),sv
metadata,nomenc,Agency,nom-item,ARTEMIS,ARTEMIS Joint Undertaking,en
metadata,nomenc,Agency,nom-item,ARTEMIS,Entreprise commune Artemis,fr
metadata,nomenc,Agency,nom-item,ARTEMIS,Съвместно предприятие ARTEMIS,bg
metadata,nomenc,Agency,nom-item,ARTEMIS,Společný podnik ARTEMIS,cs
