table,table ID,T,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT
table,orders,T,1,370,O,172799.49,1996-01-02,5-LOW,Clerk#000000951,0,blithely final dolphins solve-- blithely blithe packages nag blith
table,orders,T,2,781,O,38426.09,1996-12-01,1-URGENT,Clerk#000000880,0,quickly regular depend
table,orders,T,3,1234,F,205654.30,1993-10-14,5-LOW,Clerk#000000955,0,deposits alongside of the dependencies are slowly about 
table,orders,T,4,1369,O,56000.91,1995-10-11,5-LOW,Clerk#000000124,0,final requests detect slyly across the blithely bold pinto beans. eve
table,orders,T,5,445,F,105367.67,1994-07-30,5-LOW,Clerk#000000925,0,even deposits cajole furiously. quickly spe
table,orders,T,6,557,F,45523.10,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,ironically bold asymptotes sleep blithely beyond the regular, clos
table,orders,T,7,392,O,271885.66,1996-01-10,2-HIGH,Clerk#000000470,0,ironic, regular deposits are. ironic foxes sl
table,orders,T,32,1301,O,198665.57,1995-07-16,2-HIGH,Clerk#000000616,0,slyly final foxes are slyly. packag
table,orders,T,33,670,F,146567.24,1993-10-27,3-MEDIUM,Clerk#000000409,0,packages maintain about the deposits; foxes hang after 
table,orders,T,34,611,O,73315.48,1998-07-21,3-MEDIUM,Clerk#000000223,0,quickly express asymptotes use. carefully final packages sleep f
table,orders,T,35,1276,O,194641.93,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,fluffily regular pinto beans 
table,orders,T,36,1153,O,42011.04,1995-11-03,1-URGENT,Clerk#000000358,0,carefully ironic accounts nag
table,orders,T,37,862,F,131896.49,1992-06-03,3-MEDIUM,Clerk#000000456,0,express requests ar
table,orders,T,38,1249,O,71553.08,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,slyly quick pinto beans detect flu
table,orders,T,39,818,O,326565.37,1996-09-20,3-MEDIUM,Clerk#000000659,0,furiously unusual pinto beans above the furiously ironic asymptot
table,orders,T,64,322,F,35831.73,1994-07-16,3-MEDIUM,Clerk#000000661,0,final deposits nag. blithely special deposits a
table,orders,T,65,163,P,95469.44,1995-03-18,1-URGENT,Clerk#000000632,0,furiously even platelets boost ironic theodolites. even 
table,orders,T,66,1292,F,104190.66,1994-01-20,5-LOW,Clerk#000000743,0,ironic requests are quickly about the carefully unusual a
table,orders,T,67,568,O,182481.16,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0,regular, bold foxes across the even requests detect a
table,orders,T,68,286,O,301968.79,1998-04-18,3-MEDIUM,Clerk#000000440,0,stealthy decoys nag; furiously
table,orders,T,69,845,F,204110.73,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0,carefully regular theodolites exce
table,orders,T,70,644,F,125705.32,1993-12-18,5-LOW,Clerk#000000322,0,blithely unusual pack
table,orders,T,71,34,O,260603.38,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0,furiously ironic dolphins sleep slyly. carefully special notornis cajole c
table,orders,T,96,1078,F,64364.30,1994-04-17,2-HIGH,Clerk#000000395,0,carefully regular accounts 
table,orders,T,97,211,F,100572.55,1993-01-29,3-MEDIUM,Clerk#000000547,0,carefully even packages believe sly
table,orders,T,98,1045,F,71721.40,1994-09-25,1-URGENT,Clerk#000000448,0,carefully even dinos sleep blithely. regular, bold deposits
table,orders,T,99,890,F,108594.87,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,carefully regular theodolites may believe unu
table,orders,T,100,1471,O,198978.27,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,regular deposits sleep closely regular, regular packages. carefully si
table,orders,T,101,280,O,118448.39,1996-03-17,3-MEDIUM,Clerk#000000419,0,blithely ironic accounts lose slyly about the pending, regular accounts
table,orders,T,102,8,O,184806.58,1997-05-09,2-HIGH,Clerk#000000596,0,unusual deposits dazzle furiously blithely regular pinto beans. pending foxes
table,orders,T,103,292,O,118745.16,1996-06-20,4-NOT SPECIFIED,Clerk#000000090,0,carefully ironic deposits are quickly blithely even
table,orders,T,128,740,F,34997.04,1992-06-15,1-URGENT,Clerk#000000385,0,carefully special e
table,orders,T,129,712,F,254281.41,1992-11-19,5-LOW,Clerk#000000859,0,slyly bold dolphins cajole c
table,orders,T,130,370,F,140213.54,1992-05-08,2-HIGH,Clerk#000000036,0,slyly final accounts among
table,orders,T,131,928,F,140726.47,1994-06-08,3-MEDIUM,Clerk#000000625,0,special courts wake blithely accordin
table,orders,T,132,265,F,133485.89,1993-06-11,3-MEDIUM,Clerk#000000488,0,ironic platelets according to the evenly regula
table,orders,T,133,440,O,95971.06,1997-11-29,1-URGENT,Clerk#000000738,0,slyly silent deposits haggle carefully fluffi
table,orders,T,134,62,F,208201.46,1992-05-01,4-NOT SPECIFIED,Clerk#000000711,0,silently even deposits wake about the fluff
table,orders,T,135,605,O,230472.84,1995-10-21,4-NOT SPECIFIED,Clerk#000000804,0,accounts cajole. final, pending dependencies a
table,orders,T,160,826,O,114742.32,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0,unusual dependencie
table,orders,T,161,167,F,17668.60,1994-08-31,2-HIGH,Clerk#000000322,0,ironic, even attainments cajole closely
table,orders,T,162,142,O,3553.15,1995-05-08,3-MEDIUM,Clerk#000000378,0,instructions nag slyly. fluffily ironic sau
table,orders,T,163,878,O,177809.13,1997-09-05,3-MEDIUM,Clerk#000000379,0,carefully express pinto beans serve carefully final as
table,orders,T,164,8,F,250417.20,1992-10-21,5-LOW,Clerk#000000209,0,fluffily unusual requests al
table,orders,T,165,274,F,193302.35,1993-01-30,4-NOT SPECIFIED,Clerk#000000292,0,furiously enticing accounts cajole sometimes. slyly express plat
table,orders,T,166,1079,O,158207.39,1995-09-12,2-HIGH,Clerk#000000440,0,bold dependencies wake furiously regula
table,orders,T,167,1195,F,64017.85,1993-01-04,4-NOT SPECIFIED,Clerk#000000731,0,express warhorses wake carefully furiously ironic deposits. c
table,orders,T,192,826,O,194637.57,1997-11-25,5-LOW,Clerk#000000483,0,silent requests above the furiously even pinto beans sleep bl
table,orders,T,193,791,F,80834.26,1993-08-08,1-URGENT,Clerk#000000025,0,slyly blithe instructions cajole carefully ironic, fina
table,orders,T,194,619,F,154284.73,1992-04-05,3-MEDIUM,Clerk#000000352,0,carefully dogged excuses use abou
table,orders,T,195,1355,F,216638.92,1993-12-28,3-MEDIUM,Clerk#000000216,0,ironic, final notornis are fluffily across the carefull
table,orders,T,196,649,F,38660.64,1993-03-17,2-HIGH,Clerk#000000988,0,even deposits wake 
table,orders,T,197,326,P,155247.48,1995-04-07,2-HIGH,Clerk#000000969,0,theodolites above the furiously regular deposits sleep blithely abo
table,orders,T,198,1103,O,149551.63,1998-01-02,4-NOT SPECIFIED,Clerk#000000331,0,deposits haggle carefully after the furiously fi
table,orders,T,199,530,O,95867.70,1996-03-07,2-HIGH,Clerk#000000489,0,unusual, regular requests c
table,orders,T,224,25,F,234050.44,1994-06-18,4-NOT SPECIFIED,Clerk#000000642,0,quickly final accounts use even requests. ironic ac
table,orders,T,225,331,P,226028.98,1995-05-25,1-URGENT,Clerk#000000177,0,blithely express cou
table,orders,T,226,1276,F,256459.40,1993-03-10,2-HIGH,Clerk#000000756,0,even, ironic theodolites detect fluffily final instructions-- fi
table,orders,T,227,100,O,69020.68,1995-11-10,5-LOW,Clerk#000000919,0,asymptotes are special, special requests. spec
table,orders,T,228,442,F,2744.06,1993-02-25,1-URGENT,Clerk#000000562,0,blithely ironic requests boost pending theodolites. even deposits affix fluf
