root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10577,ANTH,211,F01,Introduction to Anthropology,1.0,Brightman,M-W,time,03:10PM,04:30
root,course,20573,ANTH,344,S01,Sex and Gender,1.0,Makley,T-Th,time,10:30AM,11:50
root,course,10624,BIOL,431,F01,Field Biology of Amphibians,0.5,Kaplan,T,time,06:10PM,08:00
root,course,20626,BIOL,431,S04,Seminar in Biology,0.5,Yezerinac,Th,time,06:10PM,08:00
root,course,10543,CHEM,101,F,MolecularStructure and Properties,1.0,Geselbracht,M-W-F,time,11:00AM,11:50
root,course,10544,CHEM,101,F01,MolecularStructure and Properties,0.0,Geselbracht,M,time,01:10PM,02:00
root,course,10545,CHEM,101,F02,MolecularStructure and Properties,0.0,Geselbracht,M,time,02:10PM,03:00
root,course,10546,CHEM,101,F03,MolecularStructure and Properties,0.0,Geselbracht,M,time,03:10PM,04:00
root,course,10789,CHEM,101,F08,MolecularStructure and Properties,0.0,Geselbracht,T,time,11:00AM,11:50
root,course,10547,CHEM,101,F04,MolecularStructure and Properties,0.0,Geselbracht,T,time,01:10PM,02:00
root,course,10548,CHEM,101,F05,MolecularStructure and Properties,0.0,Geselbracht,T,time,02:10PM,03:00
root,course,20575,ANTH,344,S02,Sex and Gender,1.0,Makley,T-Th,time,01:10PM,02:30
root,course,10549,CHEM,101,F06,MolecularStructure and Properties,0.0,Geselbracht,T,time,03:10PM,04:00
root,course,10550,CHEM,101,F07,MolecularStructure and Properties,0.0,Geselbracht,T,time,04:10PM,05:00
root,course,10551,CHEM,101,FL1,MolecularStructure and Properties,0.0,Geselbracht,M,time,01:10PM,04:00
root,course,10555,CHEM,101,FL5,MolecularStructure and Properties,0.0,Geselbracht,T,time,09:00AM,11:50
root,course,10552,CHEM,101,FL2,MolecularStructure and Properties,0.0,Geselbracht,T,time,01:10PM,04:00
root,course,10553,CHEM,101,FL3,MolecularStructure and Properties,0.0,Geselbracht,W,time,01:10PM,04:00
root,course,10557,CHEM,101,FL7,MolecularStructure and Properties,0.0,Geselbracht,W,time,06:10PM,09:00
root,course,10556,CHEM,101,FL6,MolecularStructure and Properties,0.0,Geselbracht,Th,time,09:00AM,11:50
root,course,10554,CHEM,101,FL4,MolecularStructure and Properties,0.0,Geselbracht,Th,time,01:10PM,04:00
root,course,10558,CHEM,101,FL8,MolecularStructure and Properties,0.0,Geselbracht,F,time,02:10PM,05:00
root,course,20483,ANTH,348,S,Languages the Americas:Mayan,1.0,Haviland,T,time,06:10PM,09:00
root,course,20537,CHEM,102,S,Chemical Reactivity,1.0,Glasfeld,M-W-F,time,11:00AM,11:50
root,course,20538,CHEM,102,S01,Chemical Reactivity,0.0,Glasfeld,M,time,02:10PM,03:00
root,course,20539,CHEM,102,S02,Chemical Reactivity,0.0,Glasfeld,M,time,03:10PM,04:00
root,course,20540,CHEM,102,S03,Chemical Reactivity,0.0,Glasfeld,T,time,02:10PM,03:00
