table,table ID,T,P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
table,part,T,1,goldenrod lace spring peru powder,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG,901.00,final deposits s
table,part,T,2,blush rosy metallic lemon navajo,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE,902.00,final platelets hang f
table,part,T,3,dark green antique puff wheat,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903.00,unusual excuses ac
table,part,T,4,chocolate metallic smoke ghost drab,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM,904.00,ironi
table,part,T,5,forest blush chiffon thistle chocolate,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG,905.00,pending, spe
table,part,T,6,white ivory azure firebrick black,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG,906.00,pending pinto be
table,part,T,7,blue blanched tan indian olive,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG,907.00,blithely ironic
table,part,T,8,ivory khaki cream midnight rosy,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM,908.00,furiously eve
table,part,T,9,thistle rose moccasin light floral,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE,909.00,thinly even request
table,part,T,10,floral moccasin royal powder burnished,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN,910.01,bold, ironic 
table,part,T,11,chocolate turquoise sandy snow misty,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX,911.01,furiousl
table,part,T,12,peru ivory olive powder frosted,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE,912.01,quietly even foxes 
table,part,T,13,ghost blue olive sky gainsboro,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK,913.01,platelets poach blith
table,part,T,14,linen seashell burnished blue gainsboro,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX,914.01,special, regular
table,part,T,15,navajo dark sky turquoise royal,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE,915.01,carefully fi
table,part,T,16,deep brown turquoise dim papaya,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK,916.01,slyly final de
table,part,T,17,burnished navy orange dodger cream,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX,917.01,slyly regular do
table,part,T,18,spring indian forest khaki midnight,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK,918.01,ironic, iro
table,part,T,19,dodger forest floral cream black,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX,919.01,blithely pe
table,part,T,20,bisque salmon dark blanched linen,Manufacturer#1,Brand#12,LARGE POLISHED NICKEL,48,MED BAG,920.02,slyly ironi
table,part,T,21,lemon aquamarine firebrick floral almond,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,31,MED BAG,921.02,furiously even co
table,part,T,22,medium floral beige cornsilk olive,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,19,LG DRUM,922.02,ironic, 
table,part,T,23,firebrick bisque slate rose blanched,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,42,JUMBO JAR,923.02,slyly special inst
table,part,T,24,saddle dim white honeydew spring,Manufacturer#5,Brand#52,MEDIUM PLATED STEEL,20,MED CASE,924.02,express deposits
table,part,T,25,blush forest magenta metallic turquoise,Manufacturer#5,Brand#55,STANDARD BRUSHED COPPER,3,JUMBO BAG,925.02,slyly pending p
table,part,T,26,lawn forest misty chartreuse snow,Manufacturer#3,Brand#32,SMALL BRUSHED STEEL,32,SM CASE,926.02,fluffily ironic 
table,part,T,27,plum drab cornflower brown dim,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,20,MED PKG,927.02,unusua
table,part,T,28,green honeydew dim cyan bisque,Manufacturer#4,Brand#44,SMALL PLATED COPPER,19,JUMBO PKG,928.02,slyly unusua
table,part,T,29,aquamarine sky salmon rose burlywood,Manufacturer#3,Brand#33,PROMO PLATED COPPER,7,LG DRUM,929.02,furiously final pl
table,part,T,30,blush beige steel cyan navy,Manufacturer#4,Brand#42,PROMO ANODIZED TIN,17,LG BOX,930.03,furiously bold 
table,part,T,31,grey ghost steel maroon moccasin,Manufacturer#5,Brand#53,STANDARD BRUSHED TIN,10,LG BAG,931.03,ironic
