root,course_listing,note,course,title,credits,level,restrictions,section_listing,section_note,section,days,instructor,hours,start,end
root,course_listing,#,216-293,BUSINESS ETHICS,3,U,; ; PREREQ: NONE,section_listing,,Se 001,R,Silberg,hours,2:30pm,5:10pm
root,course_listing,#,216-782,OPERATIONS MODELING AND SIMULATION,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P),section_listing,e,Se 001,T,Liu,hours,5:30pm,7:10pm
root,course_listing,,360-960,SEMINAR: ADMINISTRATION/SUPERVISION OF PROGRAMS FOR EXCEPTIONAL INDIVIDUALS,3,G,; ; PREREQ: GRAD ST; EXCEDUC 300 OR 600,section_listing,e,Se 001,W,Luebke,hours,6:30pm,9:10pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Lc 401,M,Acad Staff,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 601,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 602,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 603,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 604,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 605,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 606,W,TA,hours,1:30pm,3:20pm
root,course_listing,#,367-222,BASIC ELEMENTS OF VIDEO,3,U,; (202) PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) & ENGLISH 290(C) OR CONS INSTR. ART MAJORS: ART 101(P) OR 108(P). FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P) ; ; STUDENTS MUS ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,section_listing,,La 801,MW,Cobb,hours,9:30am,11:20am
root,course_listing,#,367-222,BASIC ELEMENTS OF VIDEO,3,U,; (202) PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) & ENGLISH 290(C) OR CONS INSTR. ART MAJORS: ART 101(P) OR 108(P). FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P) ; ; STUDENTS MUS ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,section_listing,,La 802,TR,TA,hours,11:30am,1:20pm
root,course_listing,#,367-410,JUNIOR PROJECT,6,U,; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM,section_listing,,Se 001,MW,Condit,hours,3:30pm,5:20pm
root,course_listing,#,367-510,SENIOR PROJECT,6,U,; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. B OR BETTER GRADE IN FILM 420(P). IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM,section_listing,,Se 001,MW,Condit,hours,3:30pm,5:20pm
root,course_listing,#+,216-785,OPERATIONS STRATEGY AND PROJECT MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P); BUS ADM 720(C) OR 725(C),section_listing,e,Se 001,R,Mukhopadhyay,hours,7:30pm,9:10pm
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 801,MW,White,hours,9:30am,11:20am
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 802,MW,White,hours,11:30am,1:20pm
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 803,TR,Blau,hours,1:30pm,3:20pm
root,course_listing,,397-101,CULTURAL DIVERSITY IN HEALTH CARE,3,U,; (SS&amp;) PREREQ: NONE,section_listing,,Lc 400,TR,Clinton,hours,8:00am,9:15am
root,course_listing,,397-101,CULTURAL DIVERSITY IN HEALTH CARE,3,U,; (SS&amp;) PREREQ: NONE,section_listing,e,Lc 401,M,Clinton,hours,4:30pm,7:10pm
root,course_listing,,397-103,FRESHMAN SEMINAR IN PROFESSIONAL NURSING,1,U,; ; JOINTLY OFFERED WITH & COUNTS AS A REPEAT OF HLTHRST 103 & HLTHMNT 103. PREREQ: ADMIS TO PRENURSING PROG,section_listing,,Lc 400,T,Schmid,hours,,10:30am
root,course_listing,,397-200,GROWTH AND DEVELOPMENT I,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,section_listing,,Lc 400,MW,Ott,hours,11:30am,12:45pm
root,course_listing,,397-202,GROWTH AND DEVELOPMENT II,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,section_listing,,Lc 400,MW,Bitzan,hours,9:30am,10:45am
root,course_listing,#+,216-792,STRATEGIC MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 700(P), 705(P), 731(P) & 760(P); OR CONS INSTR,section_listing,e,Se 001,T,Serebin,hours,7:30pm,9:10pm
root,course_listing,#+,216-792,STRATEGIC MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 700(P), 705(P), 731(P) & 760(P); OR CONS INSTR,section_listing,e,Se 002,R,Yasai,hours,5:30pm,7:10pm
root,course_listing,#+,397-230,FOUNDATIONS OF PROFESSIONAL NURSING,3,U,; ; PREREQ: ADMIS TO NURSING MAJOR, OR CONS INSTR,section_listing,,Lc 400,TR,Dupree,hours,9:30am,10:45am
