root,course_listing,note,course,title,credits,level,restrictions,section_listing,section_note,section,days,instructor,bldg_and_rm,bldg,rm
root,course_listing,#,216-293,BUSINESS ETHICS,3,U,; ; PREREQ: NONE,section_listing,,Se 001,R,Silberg,bldg_and_rm,BUS,S230
root,course_listing,#,216-782,OPERATIONS MODELING AND SIMULATION,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P),section_listing,e,Se 001,T,Liu,bldg_and_rm,BUS,N110
root,course_listing,,360-960,SEMINAR: ADMINISTRATION/SUPERVISION OF PROGRAMS FOR EXCEPTIONAL INDIVIDUALS,3,G,; ; PREREQ: GRAD ST; EXCEDUC 300 OR 600,section_listing,e,Se 001,W,Luebke,bldg_and_rm,MER,G32
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Lc 401,M,Acad Staff,bldg_and_rm,MUS,175
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 601,W,TA,bldg_and_rm,MIT,B65
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 602,W,TA,bldg_and_rm,MIT,B61
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 603,W,TA,bldg_and_rm,MIT,B91
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 604,W,TA,bldg_and_rm,BOL,B83
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 605,W,TA,bldg_and_rm,BOL,B64
root,course_listing,#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,section_listing,,Ds 606,W,TA,bldg_and_rm,BOL,268
root,course_listing,#,367-222,BASIC ELEMENTS OF VIDEO,3,U,; (202) PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) & ENGLISH 290(C) OR CONS INSTR. ART MAJORS: ART 101(P) OR 108(P). FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P) ; ; STUDENTS MUS ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,section_listing,,La 801,MW,Cobb,bldg_and_rm,MIT,B65
root,course_listing,#,367-222,BASIC ELEMENTS OF VIDEO,3,U,; (202) PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) & ENGLISH 290(C) OR CONS INSTR. ART MAJORS: ART 101(P) OR 108(P). FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P) ; ; STUDENTS MUS ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,section_listing,,La 802,TR,TA,bldg_and_rm,MIT,B61
root,course_listing,#,367-410,JUNIOR PROJECT,6,U,; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM,section_listing,,Se 001,MW,Condit,bldg_and_rm,MIT,B65
root,course_listing,#,367-510,SENIOR PROJECT,6,U,; ; PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. B OR BETTER GRADE IN FILM 420(P). IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN SE 001 & LA 801. ENROLLMENT DURING ADVANCED REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRIDAY 'RESERVE TIME' BLOCKS (ABOVE PREFERRED COURSE REQUESTS) ON REGISTRATION FORM,section_listing,,Se 001,MW,Condit,bldg_and_rm,MIT,B65
root,course_listing,#+,216-785,OPERATIONS STRATEGY AND PROJECT MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P); BUS ADM 720(C) OR 725(C),section_listing,e,Se 001,R,Mukhopadhyay,bldg_and_rm,BUS,N110
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 801,MW,White,bldg_and_rm,MIT,B61
